test_name,rRMSE,pde_loss,bc_loss,ic_loss,total_loss,runtime,num_layers,num_nodes,activation_func,epochs,grid_size,learning_rate
allen_cahn_2d_0,0.7044904232025146,0.011728614568710327,0.0,0.0,0.011728614568710327,276.3664448261261,3,40,sin,41752,43,0.0003442953106491
allen_cahn_2d_1,0.134851336479187,0.0015408587642014027,0.0,0.0,0.0015408587642014027,594.1345057487488,3,95,tanh,90563,69,0.000230567007494
allen_cahn_2d_2,0.05691488832235336,6.815145025029778e-05,0.0,0.0,6.815145025029778e-05,994.9308934211731,6,19,swish,85216,187,0.0001842411804467
allen_cahn_2d_3,1.0941519737243652,9.881312370300293,0.0,0.0,9.881312370300293,1556.0576090812683,7,76,swish,59743,145,0.0111303463730186
allen_cahn_2d_4,0.06418710947036743,5.982894072076306e-05,0.0,0.0,5.982894072076306e-05,2100.8259897232056,10,46,swish,56462,181,1.980500896568931e-05
allen_cahn_2d_5,0.017831159755587578,4.887790055363439e-06,0.0,0.0,4.887790055363439e-06,1565.3328454494476,9,91,swish,93620,56,0.0003465430528732
allen_cahn_2d_6,0.6182906627655029,0.19125013053417206,0.0,0.0,0.19125013053417206,182.50770354270935,3,19,sigmoid,27173,12,0.0974139822155868
allen_cahn_2d_7,0.8251716494560242,0.10996298491954803,0.0,0.0,0.10996298491954803,630.033136844635,2,84,relu,78355,162,5.247955131525455e-05
allen_cahn_2d_8,0.1369025558233261,0.00085161451715976,0.0,0.0,0.00085161451715976,734.0409243106842,6,15,swish,45859,125,0.0001253250175418
allen_cahn_2d_9,0.027681410312652588,0.00012960951426066458,0.0,0.0,0.00012960951426066458,587.5091638565063,8,31,sigmoid,33646,199,0.0108693872330151
allen_cahn_2d_10,0.6739316582679749,0.7894560694694519,0.0,0.0,0.7894560694694519,908.1637437343597,10,9,relu,82065,26,0.0509460368461985
allen_cahn_2d_11,0.5251400470733643,0.0072060697712004185,0.0,0.0,0.0072060697712004185,119.49403142929077,5,84,swish,8155,130,0.0002315887259497
allen_cahn_2d_12,0.07928469032049179,0.00015163425996433944,0.0,0.0,0.00015163425996433944,417.11709213256836,8,20,tanh,42356,192,0.0004457643374031
allen_cahn_2d_13,0.04226468503475189,0.0002194095723098144,0.0,0.0,0.0002194095723098144,772.7386295795441,9,25,sin,65809,68,0.0015399967234343
allen_cahn_2d_14,0.6460045576095581,0.8658568859100342,0.0,0.0,0.8658568859100342,210.71108388900757,7,16,sin,19160,48,0.0882841843935834
allen_cahn_2d_15,0.47176167368888855,0.006354771554470062,0.0,0.0,0.006354771554470062,819.581556558609,5,73,sigmoid,87782,113,3.136624269551213e-05
allen_cahn_2d_16,0.6414644718170166,0.01104713138192892,0.0,0.0,0.01104713138192892,188.71011066436768,9,59,sigmoid,16465,59,5.978603708132954e-05
allen_cahn_2d_17,0.6588535904884338,0.48108482360839844,0.0,0.0,0.48108482360839844,877.6366238594055,8,23,relu,95275,92,0.0037080153258158
allen_cahn_2d_18,0.014283225871622562,0.0001605916186235845,0.0,0.0,0.0001605916186235845,989.1552784442902,6,70,swish,79262,40,0.0016988268340562
allen_cahn_2d_19,0.13463567197322845,0.0005314246518537402,0.0,0.0,0.0005314246518537402,737.8297963142395,4,18,sigmoid,92897,151,0.0016944154715722
allen_cahn_2d_20,1.1426854133605957,0.10745260119438171,0.0,0.0,0.10745260119438171,406.35291028022766,2,89,swish,59855,130,0.0013455180805926
allen_cahn_2d_21,0.5734687447547913,0.008835572749376297,0.0,0.0,0.008835572749376297,859.1206669807434,7,7,sigmoid,64680,138,6.496304998863703e-05
allen_cahn_2d_22,0.08032648265361786,8.982264989754185e-05,0.0,0.0,8.982264989754185e-05,530.8660962581635,9,78,swish,34730,32,0.0001576744387178
allen_cahn_2d_23,0.8358038663864136,0.30041736364364624,0.0,0.0,0.30041736364364624,79.90656208992004,2,51,relu,14454,125,0.0001410268922152
allen_cahn_2d_24,0.09938834607601166,0.0002645261993166059,0.0,0.0,0.0002645261993166059,449.53300976753235,5,66,sin,55987,92,0.0003019565486771
allen_cahn_2d_25,0.6755580306053162,0.04211020842194557,0.0,0.0,0.04211020842194557,749.1948735713959,9,85,relu,39128,119,0.0005181823400198
allen_cahn_2d_26,0.08412806689739227,0.0004385258653201163,0.0,0.0,0.0004385258653201163,313.14595103263855,7,41,sigmoid,32617,57,0.0152207537032514
allen_cahn_2d_27,0.03948339447379112,1.5818935935385525e-05,0.0,0.0,1.5818935935385525e-05,594.9439680576324,10,47,tanh,50914,26,0.0007193171879438
