test_name,rRMSE,pde_loss,bc_loss,ic_loss,total_loss,runtime,num_layers,num_nodes,activation_func,epochs,grid_size,learning_rate
burgers_2d_23,0.6511814594268799,0.05432996526360512,0.003613289911299944,0.1302870810031891,0.18823033571243286,48.49059057235718,2,51,relu,14454,125,0.0001410268922152
burgers_2d_24,0.10731328278779984,0.0002588102943263948,1.6056246749940328e-05,0.0003395435633137822,0.0006144100916571915,404.1136062145233,5,66,sin,55987,92,0.0003019565486771
burgers_2d_25,0.6439005732536316,0.05474167317152023,0.001301601529121399,0.12127750366926193,0.17732077836990356,582.9492349624634,9,85,relu,39128,119,0.0005181823400198
burgers_2d_26,0.40438345074653625,0.002166386926546693,0.0002216747379861772,0.0047996086068451405,0.007187670096755028,336.6434950828552,7,41,sigmoid,32617,57,0.0152207537032514
burgers_2d_27,0.591502845287323,0.001285123871639371,0.00010607438161969185,0.0026767326053231955,0.004067930858582258,659.7919912338257,10,47,tanh,50914,26,0.0007193171879438
burgers_2d_28,1.0,0.0,0.0,0.49662163853645325,0.49662163853645325,200.80818843841553,8,80,relu,17814,148,0.0349777375224056
burgers_2d_29,0.4222092032432556,0.033492352813482285,0.00012156242155469954,0.048971809446811676,0.08258572220802307,434.6830310821533,5,39,sigmoid,62105,119,3.34293621862884e-05
burgers_2d_30,0.16213174164295197,0.0001391561672789976,1.5133738884287595e-07,0.0005902074626646936,0.0007295149844139814,781.4592940807343,5,98,sin,99643,52,6.44111201758058e-05
burgers_2d_31,1.0,7.227695469359165e-25,1.3261374277323234e-25,0.49468082189559937,0.49468082189559937,403.6264605522156,3,55,swish,63669,94,0.058528107205006
burgers_2d_32,0.20850595831871033,0.0005749714327976108,1.3158442015992478e-06,0.0014401806984096766,0.002016467973589897,739.1521964073181,10,46,swish,39698,83,0.0001402348192226
burgers_2d_33,0.6474876403808594,0.053394824266433716,0.0012215288588777184,0.12448098510503769,0.17909733951091766,269.14232063293457,10,64,relu,17947,178,0.0004363020857081
burgers_2d_34,4.1574811935424805,3.0523810386657715,12.292924880981445,6.637599945068359,21.982906341552734,729.866898059845,9,98,sin,57371,60,0.0073932643565288
burgers_2d_35,1.0005141496658325,0.0,0.0007763108005747199,0.4919135570526123,0.4926898777484894,841.149197101593,8,93,tanh,77506,59,0.0938675866434421
burgers_2d_36,1.0,3.8382529793379305e-11,2.7732128353985485e-17,0.4827585816383362,0.4827585816383362,623.0739486217499,9,63,swish,36286,29,0.038512061179203
burgers_2d_37,0.5141079425811768,0.05006575956940651,0.0010034504812210798,0.06636135280132294,0.11743056774139404,233.96876311302185,2,14,sin,65417,44,0.0001848350654143
burgers_2d_38,0.3483699560165405,0.0009835332166403532,2.3011933080852032e-05,0.001615735236555338,0.0026222802698612213,96.98000741004944,4,32,tanh,16849,152,0.0044763665118443
burgers_2d_39,1.0722781419754028,60630757376.0,0.11302768439054489,0.5516699552536011,60630757376.0,576.4567053318024,6,55,sin,60659,103,0.0674335458866373
burgers_2d_40,0.6515406966209412,0.05557045340538025,0.004487438127398491,0.13243097066879272,0.1924888640642166,366.5544638633728,3,16,relu,83546,138,0.0072223168813105
burgers_2d_41,0.05211599916219711,0.0018242067890241742,4.8314614105038345e-06,0.0017922306433320045,0.003621269017457962,718.8639171123505,4,74,sin,64388,185,4.5718303996619705e-05
burgers_2d_42,0.049876388162374496,0.0023166928440332413,9.106297511607409e-05,0.0015414883382618427,0.003949244040995836,2081.96901345253,10,70,sigmoid,56230,169,1.3011908844074614e-05
burgers_2d_43,0.07057958841323853,0.0016582603566348553,1.3020205187785905e-05,0.002390938811004162,0.004062219522893429,358.3472023010254,3,80,tanh,74949,69,2.627176634355119e-05
burgers_2d_44,0.056765034794807434,0.0005554063827730715,1.9506915123201907e-06,0.0004892432480119169,0.0010466002859175205,272.96238589286804,4,80,sin,45058,59,3.091076265514508e-05
burgers_2d_45,0.254966139793396,0.0013642326230183244,1.2784115824615583e-05,0.0007285768515430391,0.0021055936813354492,382.68575072288513,10,87,tanh,26787,86,7.331993949847578e-05
burgers_2d_46,0.6235830783843994,0.05137274041771889,0.000786426302511245,0.09446068853139877,0.14661985635757446,123.4746413230896,7,24,relu,14275,10,3.5862054564693235e-05
burgers_2d_47,0.08975615352392197,3.7877296563237906e-05,3.527313481299643e-07,1.4929581084288657e-05,5.315960879670456e-05,404.8968939781189,5,22,tanh,59453,23,9.397914871326744e-05
burgers_2d_48,0.6542435884475708,0.05490722507238388,0.0045472318306565285,0.1342855989933014,0.19374005496501923,167.8513572216034,2,78,relu,50196,115,0.0001214627846322
burgers_2d_49,0.1073647290468216,0.005137767177075148,0.00018400963745079935,0.002668861299753189,0.007990637794137001,318.82731437683105,6,8,sigmoid,38000,162,0.0011458193219725
burgers_2d_50,0.24963459372520447,0.0006943856133148074,1.1402271411498077e-05,0.001047283411026001,0.0017530713230371475,957.5254492759705,6,61,tanh,36851,177,0.0019543818980322
burgers_2d_51,1.0,2.7455584268257663e-31,3.7359346930114917e-32,0.4833333492279053,0.4833333492279053,435.1728196144104,5,85,swish,44158,30,0.0103504636944998
burgers_2d_52,0.5944730043411255,0.0650007352232933,0.0027888512704521418,0.08587212860584259,0.15366171300411224,91.03628921508789,2,93,sin,26610,48,0.0001175375227836
burgers_2d_53,0.03657348453998566,0.001876184018328786,0.0001319960574619472,0.0007823649793863297,0.0027905451133847237,673.9537003040314,4,96,sin,52707,181,0.0004957982491227
burgers_2d_54,0.6455249786376953,0.05614061653614044,0.0021092810202389956,0.12202440947294235,0.18027430772781372,279.293869972229,8,41,relu,24505,48,0.0136758699248193
burgers_2d_55,0.64983731508255,0.0496668703854084,0.0015955890994518995,0.1184648647904396,0.16972732543945312,55.74319076538086,4,22,relu,10844,14,4.160157754014052e-05
burgers_2d_56,0.6496187448501587,0.05484817177057266,0.0021288793068379164,0.1274143010377884,0.1843913495540619,878.9319722652435,5,72,relu,82592,192,0.0004818597206905
burgers_2d_57,0.25697043538093567,0.005049500614404678,0.00019596009224187583,0.001084812916815281,0.006330273579806089,540.357105255127,8,24,sin,50985,109,0.0075887264993529
burgers_2d_58,0.23306778073310852,0.00011253157572355121,4.60705177829368e-06,6.401473365258425e-05,0.00018115335842594504,307.0126292705536,10,82,tanh,22012,24,0.0001105899553623
burgers_2d_59,0.10946834832429886,0.001885920879431069,2.1790254322695546e-05,0.001131684985011816,0.003039396135136485,612.1295483112335,7,5,sin,65905,191,0.0038483002205029
burgers_2d_60,0.11614548414945602,0.005467074457556009,5.120627611177042e-05,0.005538544151932001,0.011056825518608093,402.01055788993835,3,34,swish,55250,124,0.0004748391589335
burgers_2d_61,0.3209340572357178,0.017413413152098656,0.0010408922098577023,0.011418835259974003,0.029873140156269073,776.8630049228668,7,71,tanh,80451,75,0.0040953129381816
burgers_2d_62,0.2719099223613739,1.3922568541602232e-05,1.5084029655554332e-05,6.642098014708608e-06,3.564869621186517e-05,760.2239284515381,7,56,swish,57562,32,0.0005790332914041
burgers_2d_63,0.7554935216903687,0.06489700078964233,0.01688028872013092,0.2121172845363617,0.29389458894729614,121.81809663772583,6,84,tanh,5992,186,0.0270055320682647
burgers_2d_64,1.3934299945831299,0.6758855581283569,0.7107510566711426,0.850132942199707,2.236769676208496,622.9046747684479,8,85,sin,55711,95,0.011779117401959
burgers_2d_65,0.4737829864025116,0.03919770568609238,8.641515887575224e-05,0.055918801575899124,0.09520292282104492,315.8770604133606,2,16,tanh,79831,18,5.031093256254296e-05
burgers_2d_66,0.07348692417144775,0.0011830893345177174,8.26103405415779e-06,0.0009183400543406606,0.0021096905693411827,476.6656930446625,5,57,sigmoid,61677,35,0.0001083583825667
burgers_2d_67,0.6481550931930542,0.052515313029289246,0.00035588658647611737,0.12282616645097733,0.17569737136363983,221.73179507255554,7,98,relu,26445,81,8.907946337820086e-05
burgers_2d_68,0.40362444519996643,1.6397532363043865e-06,5.866586434422061e-07,2.016559221829084e-07,2.4280677735077916e-06,1628.0892975330353,8,66,swish,98948,47,0.0008756662162346
burgers_2d_69,0.42296135425567627,0.033540576696395874,3.8230653444770724e-05,0.04878593608736992,0.08236473798751831,93.85987758636475,3,14,swish,15169,116,0.0043155412924413
burgers_2d_70,0.17014162242412567,0.0006776520167477429,2.1185387595323846e-06,0.0002623527543619275,0.000942123297136277,515.6321177482605,5,48,sin,48938,188,0.0045816734382059
burgers_2d_71,0.7609062790870667,0.06569861620664597,0.025113992393016815,0.19919472932815552,0.2900073528289795,1168.134497642517,6,77,swish,36154,182,0.0291072586456829
burgers_2d_72,0.0347532257437706,0.0006349305622279644,5.056662303104531e-06,0.0007022618665359914,0.0013422491028904915,1829.1527950763702,6,74,swish,40846,165,2.4422485772325615e-05
