pde,depth,width,activation,learning_rate,adam_beta2,adam_epochs,lbfgs_iters,grid_size,la_bc,adam_final_rrmse,final_rrmse,adam_time,lbfgs_time,training_time,seed
pde1,2,50,swish,0.005,0.999,80000,200,100,1.0,0.9261201024055481,0.9259384870529175,4239.926666736603,147.92009258270264,4387.846759319305,42
pde1,2,50,swish,0.0005,0.999,80000,200,100,1.0,0.9524083137512207,0.9524100422859192,20539.739931583405,17.596095323562622,20557.336026906967,42
pde1,2,50,swish,5e-05,0.999,80000,200,100,1.0,1.0840389728546143,1.0840378999710083,10655.640868663788,74.7884349822998,10730.429303646088,42
pde1,2,50,tanh,0.05,0.999,80000,200,100,1.0,0.8765208125114441,0.8371691107749939,3624.914836168289,603.3781206607819,4228.292956829071,42
pde1,2,50,tanh,0.005,0.999,80000,200,100,1.0,0.8069906830787659,0.8069884181022644,5337.82905292511,91.53541016578674,5429.364463090897,42
pde1,2,50,tanh,0.0005,0.999,80000,200,100,1.0,0.8955289125442505,0.8955163955688477,4250.7922875881195,94.22736024856567,4345.019647836685,42
pde1,2,50,tanh,5e-05,0.999,80000,200,100,1.0,1.0686982870101929,0.8071504235267639,4031.140411376953,2037.8315603733063,6068.971971750259,42
pde1,5,10,sin,0.05,0.999,80000,200,100,1.0,0.42807650566101074,0.011887535452842712,12516.287748098373,1042.6513876914978,13558.939135789871,42
pde1,5,10,sin,0.005,0.999,80000,200,100,1.0,0.023019060492515564,0.005683692637830973,20220.587708711624,117.12010788917542,20337.7078166008,42
pde1,5,10,sin,0.0005,0.999,80000,200,100,1.0,0.05411221459507942,0.036400433629751205,39770.64507627487,59.41334390640259,39830.058420181274,42
pde1,5,10,sin,5e-05,0.999,80000,200,100,1.0,0.009654621593654156,0.009654583409428596,3573.9062991142273,44.90505790710449,3618.811357021332,42
pde1,5,10,swish,0.05,0.999,80000,200,100,1.0,1.0,1.0,10053.393226623535,27.382981777191162,10080.776208400726,42
pde1,5,10,swish,0.005,0.999,80000,200,100,1.0,0.022744927555322647,0.01756647787988186,40060.26018571854,17.60452103614807,40077.864706754684,42
pde1,5,10,swish,0.0005,0.999,80000,200,100,1.0,0.09222083538770676,0.09221954643726349,4359.849586248398,69.01743578910828,4428.867022037506,42
pde1,5,10,swish,5e-05,0.999,80000,200,100,1.0,0.7898507118225098,0.7898489832878113,5642.118122339249,85.46997308731079,5727.588095426559,42
pde1,5,10,tanh,0.05,0.999,80000,200,100,1.0,1.000010371208191,1.0,3856.1524641513824,11.09054946899414,3867.2430136203766,42
pde1,5,10,tanh,0.005,0.999,80000,200,100,1.0,0.0598328672349453,0.025384340435266495,3344.2876369953156,153.0659749507904,3497.353611946106,42
