pde,trial,d_hidden,d_model,mapping_size,n_params,lbfgs_iters,final_rrmse,final_rmae,train_time,seed
pde1,31,256,32,16,162351,1000,0.0027749995480500843,0.002420992757369479,1210.515317440033,42
pde1,32,512,64,112,426575,1000,0.00229561509439942,0.002085783085925689,1621.7709832191467,42
pde1,33,256,64,80,208719,1000,0.002397338909056625,0.0021411732451640034,1363.8252301216125,42
pde1,34,256,64,128,214863,1000,0.002872792435360988,0.0025881309039339885,1468.5870645046234,42
pde1,35,512,16,16,347807,1000,0.003023321230436539,0.002534748944272881,1648.5098989009857,42
pde1,36,512,128,128,560271,1000,0.002406423004099765,0.0021652256891937943,1835.2595074176788,42
pde1,37,128,64,64,148943,1000,0.0022841501277060436,0.002070717443953147,1179.7245678901672,42
pde1,38,256,64,16,200527,1000,0.002522009151827791,0.0022353096093594964,1333.7528710365295,42
pde1,39,256,16,112,149407,1000,0.0026700797236636226,0.002455715981335241,1357.0405082702637,42
pde1,40,256,128,16,301455,1000,0.0025135041312025776,0.0022705809767430106,1409.566356420517,42
pde1,41,128,16,16,94751,1000,0.006956861141982003,0.005971541541270164,1193.7299208641052,42
pde1,42,768,128,112,917391,1000,0.0028991079166338918,0.002591927024945062,2230.8333280086517,42
pde1,43,768,16,64,681887,1000,0.003416453564526775,0.0030511920002114757,2015.8631813526154,42
pde1,44,128,32,48,110767,1000,0.002429787977192187,0.002225409820446953,1416.843007326126,42
pde1,45,512,16,112,350879,1000,0.003288788159891527,0.0031079108288375964,1547.4345383644104,42
pde1,46,256,16,128,149919,1000,0.002868653599695478,0.002590425653274898,1292.4986312389374,42
pde1,47,768,16,96,682911,1000,0.0033547387755693218,0.0029202996145586495,1818.4523587226868,42
pde2,0,512,32,16,367919,1000,0.006277717793238277,0.0029473466280797124,401.4264626502991,42
pde2,1,768,32,80,708655,1000,0.00793812426767715,0.0036450930719269022,504.32998394966125,42
pde2,2,256,128,96,321935,1000,0.004040988643606828,0.0018281745878210368,310.62985467910767,42
pde2,3,128,64,112,155087,1000,0.0049821761955685185,0.0024254691482981264,295.2990038394928,42
pde2,4,512,16,80,349855,1000,0.00981202003306908,0.004065686285966796,405.4797441959381,42
pde2,5,768,32,128,711727,1000,0.004363925399154425,0.0016926001455732037,503.0763421058655,42
pde2,6,128,64,48,146895,1000,0.005329987919380597,0.0026596067030869733,264.02304887771606,42
pde2,7,256,16,16,146335,1000,0.0061842942278976945,0.0031138263749813763,453.81149196624756,42
