pde,depth,width,activation,learning_rate,adam_beta2,adam_epochs,lbfgs_iters,grid_size,la_bc,adam_final_rrmse,final_rrmse,adam_time,lbfgs_time,training_time,seed
pde1,2,50,sin,0.005,0.9,80000,200,100,1.0,1.069464921951294,0.01731601357460022,6147.845087766647,1698.172467470169,7846.017555236816,42
pde1,2,50,sin,0.0005,0.9,80000,200,100,1.0,1.0828460454940796,1.0825331211090088,27884.396560430527,449.78357577323914,28334.180136203766,42
pde1,2,50,sin,5e-05,0.9,80000,200,100,1.0,1.111485242843628,1.111467957496643,20503.54001879692,262.4475862979889,20765.98760509491,42
pde1,2,50,swish,0.05,0.9,80000,200,100,1.0,0.9018862843513489,0.8210887312889099,5480.16192317009,747.414605140686,6227.576528310776,42
pde1,2,50,swish,0.005,0.9,80000,200,100,1.0,0.9308218359947205,0.9313668608665466,5954.576194763184,125.98971486091614,6080.5659096241,42
pde1,2,50,swish,0.0005,0.9,80000,200,100,1.0,0.9501075148582458,0.9502835869789124,5709.207617282867,101.08118033409119,5810.288797616959,42
pde1,2,50,swish,5e-05,0.9,80000,200,100,1.0,1.0810091495513916,1.081042766571045,7438.212488889694,135.86384677886963,7574.076335668564,42
pde1,2,50,tanh,0.05,0.9,80000,200,100,1.0,0.7436213493347168,0.737422525882721,4220.0605454444885,369.15500140190125,4589.21554684639,42
pde1,2,50,tanh,0.005,0.9,80000,200,100,1.0,0.8397719264030457,0.7702087759971619,7473.960397005081,539.657644033432,8013.618041038513,42
pde1,2,50,tanh,0.0005,0.9,80000,200,100,1.0,0.8971625566482544,0.8973758816719055,9054.772731781006,211.12950778007507,9265.902239561081,42
pde1,2,50,tanh,5e-05,0.9,80000,200,100,1.0,1.065516471862793,1.065575361251831,6525.306880950928,115.91948008537292,6641.226361036301,42
pde1,5,10,sin,0.05,0.9,80000,200,100,1.0,0.15543226897716522,0.008819553069770336,60709.83709049225,82.93536114692688,60792.772451639175,42
pde1,5,10,sin,0.005,0.9,80000,200,100,1.0,0.03614915907382965,0.004109361674636602,10974.602967739105,122.75607061386108,11097.359038352966,42
pde1,5,10,sin,0.0005,0.9,80000,200,100,1.0,0.020887529477477074,0.020652802661061287,61128.39530944824,11.376298666000366,61139.77160811424,42
pde1,5,10,sin,5e-05,0.9,80000,200,100,1.0,0.01959243416786194,0.019535666331648827,6319.008847475052,107.01806855201721,6426.026916027069,42
pde1,5,10,swish,0.05,0.9,80000,200,100,1.0,0.1858425885438919,0.014326898381114006,8291.3467066288,395.268262386322,8686.614969015121,42
pde1,5,10,swish,0.005,0.9,80000,200,100,1.0,0.04228021577000618,0.015101604163646698,5134.866760015488,195.12671661376953,5329.993476629257,42
pde1,5,10,swish,0.0005,0.9,80000,200,100,1.0,0.648127019405365,0.6482827663421631,3778.833834886551,64.72999143600464,3843.5638263225555,42
pde1,5,10,swish,5e-05,0.9,80000,200,100,1.0,0.7004373669624329,0.7004101276397705,3731.895114183426,51.08972096443176,3782.9848351478577,42
pde1,5,10,tanh,0.05,0.9,80000,200,100,1.0,0.5845140814781189,0.5641574263572693,15696.404268980026,1115.2016952037811,16811.605964183807,42
pde1,5,10,tanh,0.005,0.9,80000,200,100,1.0,0.04199329763650894,0.0300910621881485,61285.92163324356,9.907294511795044,61295.828927755356,42
pde1,5,10,tanh,0.0005,0.9,80000,200,100,1.0,0.05616369470953941,0.05612945556640625,39638.00462269783,164.82185864448547,39802.826481342316,42
pde1,5,10,tanh,5e-05,0.9,80000,200,100,1.0,0.694035530090332,0.6940422058105469,26457.327729701996,195.58653378486633,26652.914263486862,42
pde1,5,50,sin,0.05,0.9,80000,200,100,1.0,0.9902812838554382,0.08284531533718109,5566.031895637512,339.9473776817322,5905.979273319244,42
pde1,5,50,sin,0.005,0.9,80000,200,100,1.0,0.04190481826663017,0.0010136383352801204,8448.944119691849,107.75105476379395,8556.695174455643,42
pde1,5,50,sin,0.0005,0.9,80000,200,100,1.0,0.04354269802570343,0.021262185648083687,4102.314816474915,224.25276517868042,4326.567581653595,42
pde1,5,50,sin,5e-05,0.9,80000,200,100,1.0,0.009285175241529942,0.008937465026974678,14171.408593416214,269.90454387664795,14441.313137292862,42
pde1,5,50,swish,0.05,0.9,80000,200,100,1.0,1.000000238418579,1.0,5395.681967020035,11.437130451202393,5407.119097471237,42
pde1,5,50,swish,0.005,0.9,80000,200,100,1.0,0.04978015646338463,0.006804186385124922,4393.704999446869,77.87417364120483,4471.579173088074,42
pde1,5,50,swish,0.0005,0.9,80000,200,100,1.0,0.06148897856473923,0.053302958607673645,4316.31457400322,142.73523354530334,4459.049807548523,42
pde1,5,50,swish,5e-05,0.9,80000,200,100,1.0,0.7084551453590393,0.7084959149360657,5207.660322904587,94.34446930885315,5302.00479221344,42
pde1,5,50,tanh,0.05,0.9,80000,200,100,1.0,1.0059144496917725,1.0,7442.458513021469,22.492042064666748,7464.950555086136,42
pde1,5,50,tanh,0.005,0.9,80000,200,100,1.0,0.06118450313806534,0.02298443764448166,5708.2330327034,87.87365865707397,5796.106691360474,42
pde1,5,50,tanh,0.0005,0.9,80000,200,100,1.0,0.029311859980225563,0.011003846302628517,12831.208439588547,374.62967443466187,13205.838114023209,42
pde1,5,50,tanh,5e-05,0.9,80000,200,100,1.0,0.015085858292877674,0.015130333602428436,3181.266193151474,20.29254412651062,3201.5587372779846,42
pde2,2,10,sin,0.05,0.9,80000,200,100,1.0,0.2205510139465332,0.18178091943264008,29856.75784111023,566.7560584545135,30423.513899564743,42
pde2,2,10,sin,0.005,0.9,80000,200,100,1.0,0.10702686756849289,0.10654100775718689,32254.600353717804,9.021551132202148,32263.621904850006,42
pde2,2,10,sin,0.0005,0.9,80000,200,100,1.0,0.975532591342926,0.9752625226974487,14810.901041269302,34.28089952468872,14845.181940793991,42
pde2,2,10,sin,5e-05,0.9,80000,200,100,1.0,0.9744526147842407,0.9744297862052917,19392.205302238464,276.52024245262146,19668.725544691086,42
pde2,2,10,swish,0.05,0.9,80000,200,100,1.0,0.08845685422420502,0.036746278405189514,32995.88339662552,28.196038722991943,33024.07943534851,42
pde2,2,10,swish,0.005,0.9,80000,200,100,1.0,0.9771043062210083,0.974608302116394,24825.04001402855,221.10543298721313,25046.145447015762,42
pde2,2,10,swish,0.0005,0.9,80000,200,100,1.0,0.28116387128829956,0.1874718964099884,25913.10629272461,240.03685855865479,26153.143151283264,42
pde2,2,10,swish,5e-05,0.9,80000,200,100,1.0,0.9750274419784546,0.9750413298606873,28538.248695611954,77.5042200088501,28615.752915620804,42
pde2,2,10,tanh,0.05,0.9,80000,200,100,1.0,0.9937939643859863,0.9922798871994019,30371.077778100967,148.5150933265686,30519.592871427536,42
pde2,2,10,tanh,0.005,0.9,80000,200,100,1.0,0.04652003198862076,0.04725366458296776,30804.321066856384,17.44300413131714,30821.7640709877,42
pde2,2,10,tanh,0.0005,0.9,80000,200,100,1.0,0.039688192307949066,0.039849963039159775,29050.569825172424,9.617591142654419,29060.18741631508,42
pde2,2,10,tanh,5e-05,0.9,80000,200,100,1.0,0.06761161983013153,0.06757272779941559,32169.73645758629,3.8644394874572754,32173.600897073746,42
pde2,2,50,sin,0.05,0.9,80000,200,100,1.0,0.9803154468536377,0.9766071438789368,12400.295869588852,489.84636783599854,12890.14223742485,42
pde2,2,50,sin,0.005,0.9,80000,200,100,1.0,0.18913885951042175,0.09436407685279846,17042.968188762665,1185.6281077861786,18228.596296548843,42
pde2,2,50,sin,0.0005,0.9,80000,200,100,1.0,0.9781290888786316,0.9770821332931519,33197.89084148407,157.2421293258667,33355.13297080994,42
pde2,2,50,sin,5e-05,0.9,80000,200,100,1.0,0.9736195802688599,0.9737370610237122,25780.23716902733,46.80473732948303,25827.04190635681,42
pde2,2,50,swish,0.05,0.9,80000,200,100,1.0,0.2569243609905243,0.07337133586406708,10265.379544734955,2205.1464428901672,12470.525987625122,42
pde2,2,50,swish,0.005,0.9,80000,200,100,1.0,0.14769020676612854,0.06474075466394424,17846.60668849945,2149.641770839691,19996.248459339142,42
pde2,2,50,swish,0.0005,0.9,80000,200,100,1.0,0.9774442911148071,0.9776250720024109,27580.446560144424,348.9564507007599,27929.403010845184,42
pde2,2,50,swish,5e-05,0.9,80000,200,100,1.0,0.9744524955749512,0.9745619893074036,35562.31902241707,8.171513319015503,35570.490535736084,42
pde2,2,50,tanh,0.05,0.9,80000,200,100,1.0,0.9750512838363647,0.9883638620376587,7430.559896230698,338.13747692108154,7768.697373151779,42
pde2,2,50,tanh,0.005,0.9,80000,200,100,1.0,0.975625216960907,0.9715871214866638,23177.107238292694,443.07134795188904,23620.178586244583,42
pde2,2,50,tanh,0.0005,0.9,80000,200,100,1.0,0.19203950464725494,0.05236314609646797,30055.07631635666,2381.3735270500183,32436.449843406677,42
pde2,2,50,tanh,5e-05,0.9,80000,200,100,1.0,0.9716742038726807,0.9716076254844666,16335.35700249672,43.02582001686096,16378.38282251358,42
pde2,5,10,sin,0.05,0.9,80000,200,100,1.0,0.03975658118724823,0.03528616204857826,55657.353868722916,593.0417742729187,56250.395642995834,42
pde2,5,10,sin,0.005,0.9,80000,200,100,1.0,0.006004405673593283,0.0050374954007565975,60413.0079433918,5.013757944107056,60418.02170133591,42
